impd,spp,trt,period,age,cmgrp
GDCL,Bluegill,con,pre,1,70
GDCL,Bluegill,con,pre,1,50
GDCL,Bluegill,con,pre,1,70
GDCL,Bluegill,con,pre,1,80
GDCL,Bluegill,con,pre,1,80
GDCL,Bluegill,con,pre,1,80
GDCL,Bluegill,con,pre,1,80
GDCL,Bluegill,con,pre,1,80
GDCL,Bluegill,con,pre,1,80
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,0,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,90
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,0,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,0,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,100
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,2,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,110
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,2,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,2,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,2,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,120
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,2,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,1,130
GDCL,Bluegill,con,pre,3,130
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,3,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,1,140
GDCL,Bluegill,con,pre,1,140
GDCL,Bluegill,con,pre,1,140
GDCL,Bluegill,con,pre,1,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,1,140
GDCL,Bluegill,con,pre,1,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,3,140
GDCL,Bluegill,con,pre,3,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,1,140
GDCL,Bluegill,con,pre,1,140
GDCL,Bluegill,con,pre,4,140
GDCL,Bluegill,con,pre,3,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,3,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,3,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,3,140
GDCL,Bluegill,con,pre,2,140
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,4,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,4,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,1,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,5,150
GDCL,Bluegill,con,pre,5,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,4,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,4,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,4,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,4,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,4,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,4,150
GDCL,Bluegill,con,pre,1,150
GDCL,Bluegill,con,pre,2,150
GDCL,Bluegill,con,pre,3,150
GDCL,Bluegill,con,pre,4,160
GDCL,Bluegill,con,pre,4,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,2,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,2,160
GDCL,Bluegill,con,pre,4,160
GDCL,Bluegill,con,pre,2,160
GDCL,Bluegill,con,pre,4,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,5,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,4,160
GDCL,Bluegill,con,pre,2,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,3,160
GDCL,Bluegill,con,pre,4,160
GDCL,Bluegill,con,pre,4,160
GDCL,Bluegill,con,pre,5,160
GDCL,Bluegill,con,pre,4,160
GDCL,Bluegill,con,pre,4,160
GDCL,Bluegill,con,pre,5,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,2,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,5,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,6,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,3,170
GDCL,Bluegill,con,pre,4,170
GDCL,Bluegill,con,pre,6,180
GDCL,Bluegill,con,pre,6,180
GDCL,Bluegill,con,pre,4,180
GDCL,Bluegill,con,pre,2,180
GDCL,Bluegill,con,pre,4,180
GDCL,Bluegill,con,pre,4,180
GDCL,Bluegill,con,pre,3,180
GDCL,Bluegill,con,pre,4,180
GDCL,Bluegill,con,pre,4,180
GDCL,Bluegill,con,pre,3,180
GDCL,Bluegill,con,pre,6,180
GDCL,Bluegill,con,pre,3,180
